Season,Name,Position,Draft.Eligible,Team,Birth Date,GP,EVG,EVA1,EVA2,EVPTS,Team.EVPTS,OI.EVGF,OI.EVGA,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV
2017-18 Regular Season,Carter Robertson,D,Y,Ottawa 67's,2000-01-15,57,5,4,5,14,402,47,56,0.46,0.47,-0.01,9,304,0.03,0.3,0.19
2017-18 Regular Season,Kevin Bahl,D,Y,Ottawa 67's,2000-06-27,58,1,6,8,15,402,43,65,0.4,0.47,-0.07,7,304,0.02,0.35,0.16
2017-18 Regular Season,Kody Clark,F,Y,Ottawa 67's,1999-10-13,56,11,9,8,28,402,42,33,0.56,0.47,0.09,20,304,0.07,0.67,0.48
2017-18 Regular Season,Michael Little,F,Y,Mississauga Steelheads,2000-02-21,65,13,5,5,23,423,37,33,0.53,0.52,0.01,18,309,0.06,0.62,0.49
2017-18 Regular Season,Jacob Moverare,D,N,Mississauga Steelheads,1998-08-31,32,1,1,6,8,423,31,34,0.48,0.52,-0.04,2,309,0.01,0.26,0.06
2017-18 Regular Season,Akil Thomas,F,Y,Niagara IceDogs,2000-01-02,68,16,18,13,47,432,64,45,0.59,0.49,0.1,34,316,0.11,0.73,0.53
2017-18 Regular Season,Maksim Sushko,F,N,Owen Sound Attack,1999-02-10,60,21,12,8,41,529,54,47,0.53,0.53,0,33,389,0.08,0.76,0.61
2017-18 Regular Season,Brock Hill,D,N,Saginaw Spirit,1999-01-27,22,0,3,2,5,365,7,15,0.32,0.46,-0.14,3,267,0.01,0.71,0.43
2017-18 Regular Season,William Ennis,D,Y,Oshawa Generals,2000-05-31,66,1,0,9,10,435,54,59,0.48,0.5,-0.02,1,322,0,0.19,0.02
2017-18 Regular Season,Riley McCourt,D,Y,Flint Firebirds,2000-06-26,56,3,6,5,14,468,35,46,0.43,0.55,-0.12,9,340,0.03,0.4,0.26
2017-18 Regular Season,Emmett Gordon,D,Y,Kingston Frontenacs,2000-01-31,44,0,1,1,2,444,14,18,0.44,0.54,-0.1,1,323,0,0.14,0.07
2017-18 Regular Season,Marian Studenic,F,N,Hamilton Bulldogs,1998-10-28,62,14,13,7,34,468,54,29,0.65,0.55,0.1,27,340,0.08,0.63,0.5
2017-18 Regular Season,Justin Pringle,F,Y,Kingston Frontenacs,2000-03-08,25,3,1,0,4,444,7,4,0.64,0.54,0.1,4,323,0.01,0.57,0.57
2017-18 Regular Season,Zachary Jackson,F,N,Hamilton Bulldogs,1999-01-11,42,3,2,2,7,468,10,10,0.5,0.55,-0.05,5,340,0.01,0.7,0.5
2017-18 Regular Season,Paul Larabie,F,Y,Kingston Frontenacs,2000-01-28,51,0,1,6,7,444,11,11,0.5,0.54,-0.04,1,323,0,0.64,0.09
2017-18 Regular Season,Colin Van Den Hurk,D,N,Kingston Frontenacs,1999-05-26,1,0,0,0,0,444,0,1,0,0.54,-0.54,0,323,0,,
2017-18 Regular Season,Isaac Nurse,F,N,Hamilton Bulldogs,1999-03-16,68,13,9,3,25,468,41,32,0.56,0.55,0.01,22,340,0.06,0.61,0.54
2017-18 Regular Season,Riley Coome,D,N,London Knights,1999-07-07,61,0,1,4,5,395,28,29,0.49,0.48,0.01,1,291,0,0.18,0.04
2017-18 Regular Season,Mitchell Hoelscher,F,Y,Ottawa 67's,2000-01-27,67,6,10,5,21,402,32,31,0.51,0.47,0.04,16,304,0.05,0.66,0.5
2017-18 Regular Season,Barret Kirwin,F,Y,Guelph Storm,2000-02-18,68,8,11,6,25,411,37,49,0.43,0.46,-0.03,19,301,0.06,0.68,0.51
2017-18 Regular Season,Liam Ham,D,N,Niagara IceDogs,1999-02-03,63,2,5,8,15,432,49,49,0.5,0.49,0.01,7,316,0.02,0.31,0.14
2017-18 Regular Season,Ondrej Machala,F,N,Niagara IceDogs,1999-01-11,17,1,1,1,3,432,2,12,0.14,0.49,-0.35,2,316,0.01,1.5,1
2017-18 Regular Season,Ty Dellandrea,F,Y,Flint Firebirds,2000-07-21,67,13,13,6,32,320,46,78,0.37,0.42,-0.05,26,247,0.11,0.7,0.57
2017-18 Regular Season,Kyle Bollers,F,N,Saginaw Spirit,1999-03-12,56,7,3,6,16,365,25,29,0.46,0.46,0,10,267,0.04,0.64,0.4
2017-18 Regular Season,Jake Durham,F,N,Flint Firebirds,1999-04-07,68,4,10,5,19,320,27,54,0.33,0.42,-0.09,14,247,0.06,0.7,0.52
2017-18 Regular Season,Danial Singer,F,N,Niagara IceDogs,1999-02-10,67,12,7,8,27,432,39,31,0.56,0.49,0.07,19,316,0.06,0.69,0.49
2017-18 Regular Season,Justin MacPherson,D,Y,Niagara IceDogs,2000-06-23,66,0,6,9,15,432,52,56,0.48,0.49,-0.01,6,316,0.02,0.29,0.12
2017-18 Regular Season,Drew Hunter,D,N,Niagara IceDogs,1999-02-06,51,4,4,1,9,432,30,32,0.48,0.49,-0.01,8,316,0.03,0.3,0.27
2017-18 Regular Season,Matthew Philip,F,N,Niagara IceDogs,1999-05-31,68,15,11,4,30,432,39,43,0.48,0.49,-0.01,26,316,0.08,0.77,0.67
2017-18 Regular Season,Kyle Heitzner,F,N,Barrie Colts,1999-07-17,58,5,5,2,12,545,18,23,0.44,0.52,-0.08,10,398,0.03,0.67,0.56
2017-18 Regular Season,Jaden Peca,F,N,Barrie Colts,1999-04-18,64,10,18,11,39,545,56,29,0.66,0.52,0.14,28,398,0.07,0.7,0.5
2017-18 Regular Season,Hunter Holmes,F,Y,Flint Firebirds,2000-01-25,40,9,5,2,16,320,21,33,0.39,0.42,-0.03,14,247,0.06,0.76,0.67
2017-18 Regular Season,Ryan Littlejohn,F,Y,Flint Firebirds,2000-02-11,65,3,4,4,11,320,14,47,0.23,0.42,-0.19,7,247,0.03,0.79,0.5
2017-18 Regular Season,Jack Phibbs,F,N,Flint Firebirds,1999-03-05,55,3,3,3,9,320,18,38,0.32,0.42,-0.1,6,247,0.02,0.5,0.33
2017-18 Regular Season,Dennis Busby,D,Y,Flint Firebirds,2000-01-06,2,0,0,0,0,320,0,2,0,0.42,-0.42,0,247,0,,
2017-18 Regular Season,Liam Peyton,F,Y,Kitchener Rangers,2000-03-30,3,0,0,0,0,479,0,1,0,0.54,-0.54,0,352,0,,
2017-18 Regular Season,Austin McEneny,D,N,Kitchener Rangers,1997-04-10,61,6,8,8,22,479,64,59,0.52,0.54,-0.02,14,352,0.04,0.34,0.22
2017-18 Regular Season,Tyler Angle,F,N,Windsor Spitfires,2000-09-30,67,10,4,3,17,418,31,46,0.4,0.51,-0.11,14,311,0.05,0.55,0.45
2017-18 Regular Season,Connor Corcoran,D,Y,Windsor Spitfires,2000-08-07,63,3,5,9,17,418,55,64,0.46,0.51,-0.05,8,311,0.03,0.31,0.15
2017-18 Regular Season,Chris Playfair,F,Y,Windsor Spitfires,2000-05-31,66,4,7,5,16,418,27,31,0.47,0.51,-0.04,11,311,0.04,0.59,0.41
2017-18 Regular Season,Cole Purboo,F,N,Windsor Spitfires,1999-06-18,68,13,12,7,32,418,45,44,0.51,0.51,0,25,311,0.08,0.71,0.56
2017-18 Regular Season,Cole Cameron,D,N,Owen Sound Attack,1998-05-09,66,1,2,7,10,529,38,39,0.49,0.53,-0.04,3,389,0.01,0.26,0.08
2017-18 Regular Season,Luke Beamish,D,Y,Erie Otters,2000-06-15,39,0,2,1,3,529,9,22,0.29,0.53,-0.24,2,389,0.01,0.33,0.22
2017-18 Regular Season,Aidan Dudas,F,Y,Owen Sound Attack,2000-06-15,68,24,12,10,46,529,65,59,0.52,0.53,-0.01,36,389,0.09,0.71,0.55
2017-18 Regular Season,Shaw Boomhower,F,N,Mississauga Steelheads,1998-10-31,39,5,3,2,10,423,18,20,0.47,0.52,-0.05,8,309,0.03,0.56,0.44
2017-18 Regular Season,Jacob LeGuerrier,D,N,Sault Ste. Marie Greyhounds,2000-11-22,62,0,5,5,10,568,38,26,0.59,0.54,0.05,5,411,0.01,0.26,0.13
2017-18 Regular Season,Holden Wale,D,Y,Sault Ste. Marie Greyhounds,2000-07-28,37,1,1,2,4,568,17,5,0.77,0.54,0.23,2,411,0,0.24,0.12
2017-18 Regular Season,Brady Hinz,F,Y,Peterborough Petes,2000-05-03,68,14,13,7,34,553,47,54,0.47,0.55,-0.08,27,411,0.07,0.72,0.57
2017-18 Regular Season,Pavel Gogolev,F,Y,Peterborough Petes,2000-02-19,66,26,7,6,39,363,56,62,0.47,0.45,0.02,33,278,0.12,0.7,0.59
2017-18 Regular Season,Semyon Der-Arguchintsev,F,Y,Peterborough Petes,2000-09-15,68,7,12,11,30,363,47,55,0.46,0.45,0.01,19,278,0.07,0.64,0.4
2017-18 Regular Season,Declan Chisholm,D,Y,Peterborough Petes,2000-01-12,47,3,3,5,11,363,37,38,0.49,0.45,0.04,6,278,0.02,0.3,0.16
2017-18 Regular Season,Matyas Svoboda,F,N,Peterborough Petes,1999-01-02,34,2,0,1,3,363,7,13,0.35,0.45,-0.1,2,278,0.01,0.43,0.29
2017-18 Regular Season,Owen Lalonde,D,Y,Guelph Storm,2000-02-01,67,1,8,7,16,411,49,61,0.45,0.46,-0.01,9,301,0.03,0.33,0.18
2017-18 Regular Season,Owen Gilhula,F,Y,Sudbury Wolves,2000-05-11,52,4,5,0,9,366,15,44,0.25,0.47,-0.22,9,276,0.03,0.6,0.6
2017-18 Regular Season,Dawson Baker,F,Y,Sudbury Wolves,2000-04-10,61,6,4,2,12,366,27,40,0.4,0.47,-0.07,10,276,0.04,0.44,0.37
2017-18 Regular Season,Kyle Gentles,D,N,Kitchener Rangers,1998-05-30,60,2,5,4,11,479,43,49,0.47,0.54,-0.07,7,352,0.02,0.26,0.16
2017-18 Regular Season,Matthew Titus,F,N,Mississauga Steelheads,1999-05-15,11,0,0,0,0,423,0,5,0,0.52,-0.52,0,309,0,,
2017-18 Regular Season,Eric Allair,D,N,North Bay Battalion,1999-07-01,13,0,1,0,1,371,3,9,0.25,0.47,-0.22,1,281,0,0.33,0.33
2017-18 Regular Season,Alex Robert,F,N,North Bay Battalion,1999-07-06,30,0,0,0,0,371,2,12,0.14,0.47,-0.33,0,281,0,0,0
2017-18 Regular Season,Daniel Walker,F,N,North Bay Battalion,1999-05-18,35,7,2,0,9,371,12,21,0.36,0.47,-0.11,9,281,0.03,0.75,0.75
2017-18 Regular Season,Renars Krastenbergs,F,N,Oshawa Generals,1998-12-26,61,19,6,6,31,435,44,39,0.53,0.5,0.03,25,322,0.08,0.7,0.57
2017-18 Regular Season,Curtis Douglas,F,Y,Barrie Colts,2000-03-06,66,21,12,4,37,418,56,40,0.58,0.51,0.07,33,311,0.11,0.66,0.59
2017-18 Regular Season,Oliver Castleman,F,N,Niagara IceDogs,1999-09-15,64,9,6,6,21,432,34,39,0.47,0.49,-0.02,15,316,0.05,0.62,0.44
2017-18 Regular Season,Ryan Smith,F,N,Niagara IceDogs,1999-06-04,1,0,0,0,0,432,0,0,,0.49,,0,316,0,,
2017-18 Regular Season,Andrew Somerville,D,N,Guelph Storm,1999-07-30,5,0,0,0,0,411,3,2,0.6,0.46,0.14,0,301,0,0,0
2017-18 Regular Season,Ryan Martin,D,N,Erie Otters,1999-06-14,53,2,1,7,10,429,50,44,0.53,0.47,0.06,3,314,0.01,0.2,0.06
2017-18 Regular Season,Aidan Timmermans,D,Y,Erie Otters,2000-04-27,38,1,1,3,5,429,17,27,0.39,0.47,-0.08,2,314,0.01,0.29,0.12
2017-18 Regular Season,Carson Edwardson,F,N,Erie Otters,1999-06-09,24,4,2,0,6,429,11,21,0.34,0.47,-0.13,6,314,0.02,0.55,0.55
2017-18 Regular Season,Allan McShane,F,Y,Oshawa Generals,2000-02-14,67,12,21,9,42,435,55,44,0.56,0.5,0.06,33,322,0.1,0.76,0.6
2017-18 Regular Season,Jack Duff,D,Y,Erie Otters,2000-01-23,63,1,5,4,10,429,45,55,0.45,0.47,-0.02,6,314,0.02,0.22,0.13
2017-18 Regular Season,Gera Poddubnyi,F,N,Erie Otters,1999-06-09,65,10,5,6,21,429,27,56,0.33,0.47,-0.14,15,314,0.05,0.78,0.56
2017-18 Regular Season,Cade Robinson,F,Y,Erie Otters,1999-10-22,65,8,14,2,24,529,30,39,0.43,0.53,-0.1,22,389,0.06,0.8,0.73
2017-18 Regular Season,Quinn Yule,F,Y,Ottawa 67's,2000-01-06,60,5,3,1,9,402,16,26,0.38,0.47,-0.09,8,304,0.03,0.56,0.5
2017-18 Regular Season,Braden Henderson,D,Y,North Bay Battalion,2000-05-14,46,0,3,3,6,553,27,16,0.63,0.55,0.08,3,411,0.01,0.22,0.11
2017-18 Regular Season,Kirill Nizhnikov,F,Y,Barrie Colts,2000-03-29,63,7,14,6,27,366,34,57,0.37,0.47,-0.1,21,276,0.08,0.79,0.62
2017-18 Regular Season,Ryan O'Bonsawin,D,N,Sudbury Wolves,1999-03-13,8,1,0,1,2,366,6,4,0.6,0.47,0.13,1,276,0,0.33,0.17
2017-18 Regular Season,Chet Phillips,D,Y,Saginaw Spirit,2000-07-10,12,0,0,0,0,365,5,4,0.56,0.46,0.1,0,267,0,0,0
2017-18 Regular Season,Joey Keane,D,N,Barrie Colts,1999-07-02,62,9,10,14,33,545,85,49,0.63,0.52,0.11,19,398,0.05,0.39,0.22
2017-18 Regular Season,Matt McNamara,D,Y,Peterborough Petes,2000-05-10,49,1,3,2,6,363,22,39,0.36,0.45,-0.09,4,278,0.01,0.27,0.18
2017-18 Regular Season,Alex Turko,F,N,London Knights,1999-01-07,54,3,5,2,10,395,22,17,0.56,0.48,0.08,8,291,0.03,0.45,0.36
2017-18 Regular Season,Daylon Groulx,F,Y,Owen Sound Attack,2000-06-07,56,11,3,3,17,529,26,20,0.57,0.53,0.04,14,389,0.04,0.65,0.54
2017-18 Regular Season,Chad Denault,F,Y,Peterborough Petes,2000-04-17,55,0,2,0,2,363,6,20,0.23,0.45,-0.22,2,278,0.01,0.33,0.33
2017-18 Regular Season,Andy Baker,F,N,North Bay Battalion,1999-05-15,63,5,7,6,18,371,26,23,0.53,0.47,0.06,12,281,0.04,0.69,0.46
2017-18 Regular Season,Nick King,D,N,North Bay Battalion,1999-01-13,60,2,3,3,8,529,29,38,0.43,0.53,-0.1,5,389,0.01,0.28,0.17
2017-18 Regular Season,DJ Busdeker,F,Y,Saginaw Spirit,1999-09-25,68,8,9,5,22,365,40,44,0.48,0.46,0.02,17,267,0.06,0.55,0.42
2017-18 Regular Season,Cameron Hough,F,N,Sarnia Sting,2000-10-23,16,2,1,0,3,553,4,7,0.36,0.55,-0.19,3,411,0.01,0.75,0.75
2017-18 Regular Season,Sam Bitten,F,Y,Ottawa 67's,2000-03-21,68,7,8,5,20,402,27,38,0.42,0.47,-0.05,15,304,0.05,0.74,0.56
2017-18 Regular Season,Ryan Wells,D,N,Mississauga Steelheads,1999-08-18,23,0,2,1,3,423,20,22,0.48,0.52,-0.04,2,309,0.01,0.15,0.1
2017-18 Regular Season,Harrison Cottam,F,N,London Knights,1999-06-16,42,3,3,1,7,395,10,14,0.42,0.48,-0.06,6,291,0.02,0.7,0.6
2017-18 Regular Season,Bradey Johnson,F,Y,Niagara IceDogs,1999-12-24,55,10,3,3,16,432,19,22,0.46,0.49,-0.03,13,316,0.04,0.84,0.68
2017-18 Regular Season,Mathieu Foget,F,N,Mississauga Steelheads,1997-03-06,68,7,21,7,35,423,54,56,0.49,0.52,-0.03,28,309,0.09,0.65,0.52
2017-18 Regular Season,Nolan Makkonen,D,N,Sudbury Wolves,1999-02-07,5,0,0,0,0,366,3,3,0.5,0.47,0.03,0,276,0,0,0
2017-18 Regular Season,Jonathan Yantsis,F,N,Kitchener Rangers,1999-04-28,59,5,4,3,12,479,19,15,0.56,0.54,0.02,9,352,0.03,0.63,0.47
2017-18 Regular Season,Danny Katic,F,Y,Saginaw Spirit,2000-08-04,55,4,8,3,15,365,19,24,0.44,0.46,-0.02,12,267,0.04,0.79,0.63
2017-18 Regular Season,Owen Headrick,D,N,Erie Otters,1997-08-23,64,8,8,7,23,429,60,78,0.43,0.47,-0.04,16,314,0.05,0.38,0.27
2017-18 Regular Season,Owen Burnell,F,N,Hamilton Bulldogs,1998-08-24,29,1,2,3,6,468,12,6,0.67,0.55,0.12,3,340,0.01,0.5,0.25
2017-18 Regular Season,Adrien Beraldo,D,Y,Peterborough Petes,2000-01-13,51,2,3,0,5,363,23,32,0.42,0.45,-0.03,5,278,0.02,0.22,0.22
2017-18 Regular Season,Grayson Ladd,D,N,Kitchener Rangers,2001-03-01,52,0,2,4,6,479,42,32,0.57,0.54,0.03,2,352,0.01,0.14,0.05
2017-18 Regular Season,Nick Robertson,F,N,Peterborough Petes,2001-09-11,62,9,11,1,21,363,32,49,0.4,0.45,-0.05,20,278,0.07,0.66,0.62
2017-18 Regular Season,Cameron Supryka,D,N,Peterborough Petes,2001-10-28,8,0,0,0,0,363,4,4,0.5,0.45,0.05,0,278,0,0,0
2017-18 Regular Season,Gleb Babintsev,D,Y,Peterborough Petes,2000-01-08,64,1,3,4,8,363,38,56,0.4,0.45,-0.05,4,278,0.01,0.21,0.11
2017-18 Regular Season,Graeme Clarke,F,N,Ottawa 67's,2001-04-24,63,8,1,5,14,402,21,33,0.39,0.47,-0.08,9,304,0.03,0.67,0.43
2017-18 Regular Season,Adam Liška,F,Y,Kitchener Rangers,1999-10-14,62,11,10,8,29,479,44,33,0.57,0.54,0.03,21,352,0.06,0.66,0.48
2017-18 Regular Season,Brandon Coe,F,N,North Bay Battalion,2001-12-01,63,10,8,5,23,371,32,31,0.51,0.47,0.04,18,281,0.06,0.72,0.56
2017-18 Regular Season,Mike Petizian,F,N,Kitchener Rangers,2001-02-20,40,2,1,1,4,479,9,10,0.47,0.54,-0.07,3,352,0.01,0.44,0.33
2017-18 Regular Season,Matt Gordon,F,N,Kitchener Rangers,2001-02-27,5,0,0,0,0,479,0,2,0,0.54,-0.54,0,352,0,,
2017-18 Regular Season,Jack Quinn,F,N,Ottawa 67's,2001-09-19,8,0,1,0,1,402,1,1,0.5,0.47,0.03,1,304,0,1,1
2017-18 Regular Season,Rickard Hugg,F,N,Kitchener Rangers,1999-01-18,66,6,7,13,26,479,42,43,0.49,0.54,-0.05,13,352,0.04,0.62,0.31
2017-18 Regular Season,Andrew Perrott,D,N,London Knights,2001-08-24,62,4,3,2,9,395,31,36,0.46,0.48,-0.02,7,291,0.02,0.29,0.23
2017-18 Regular Season,Dalton Duhart,F,N,London Knights,2001-01-18,36,3,2,0,5,395,9,11,0.45,0.48,-0.03,5,291,0.02,0.56,0.56
2017-18 Regular Season,Lucas Rowe,F,N,London Knights,2001-08-13,25,1,0,1,2,395,3,7,0.3,0.48,-0.18,1,291,0,0.67,0.33
2017-18 Regular Season,Ryan Bangs,D,Y,London Knights,2000-01-09,7,0,1,1,2,395,2,1,0.67,0.48,0.19,1,291,0,1,0.5
2017-18 Regular Season,Tim Fallowfield,D,N,London Knights,1999-02-05,43,2,2,0,4,395,12,18,0.4,0.48,-0.08,4,291,0.01,0.33,0.33
2017-18 Regular Season,Arthur Kaliyev,F,N,Hamilton Bulldogs,2001-06-26,68,24,3,10,37,468,50,32,0.61,0.55,0.06,27,340,0.08,0.74,0.54
2017-18 Regular Season,Connor McMichael,F,N,Hamilton Bulldogs,2001-01-15,60,8,6,0,14,468,24,31,0.44,0.55,-0.11,14,340,0.04,0.58,0.58
2017-18 Regular Season,Liam Van Loon,F,N,Hamilton Bulldogs,2001-08-17,2,0,1,0,1,468,1,0,1,0.55,0.45,1,340,0,1,1
2017-18 Regular Season,Navrin Mutter,F,N,Hamilton Bulldogs,2001-03-15,28,2,0,1,3,468,4,5,0.44,0.55,-0.11,2,340,0.01,0.75,0.5
2017-18 Regular Season,Jake Murray,F,Y,Hamilton Bulldogs,2000-04-20,30,1,1,1,3,468,5,9,0.36,0.55,-0.19,2,340,0.01,0.6,0.4
2017-18 Regular Season,Mitchell Brewer,D,N,Oshawa Generals,2001-03-20,60,2,2,3,7,435,44,35,0.56,0.5,0.06,4,322,0.01,0.16,0.09
2017-18 Regular Season,Nick Wong,F,N,Oshawa Generals,2001-09-17,63,11,5,2,18,435,25,31,0.45,0.5,-0.05,16,322,0.05,0.72,0.64
2017-18 Regular Season,Nico Gross,D,Y,Oshawa Generals,2000-01-26,58,3,4,0,7,435,40,47,0.46,0.5,-0.04,7,322,0.02,0.18,0.18
2017-18 Regular Season,Bobby Dow,F,N,Peterborough Petes,1998-11-05,63,9,5,6,20,363,31,38,0.45,0.45,0,14,278,0.05,0.65,0.45
